Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Sampler_Status,Sampler_Detail,Majority_Before,Minority_Before,Majority_After,Minority_After,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,456,142,348,334,192,192,108,84,0.0378,0.1967,0.1967
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,None,None,--,not_applied,baseline_no_resampling,456,142,456,142,0,0,0,0,0.0009,,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,SMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0033,0.0106,0.0106
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,ADASYN,Baseline,--,success,fit_resample,456,142,456,450,308,308,0,308,0.0065,0.0212,0.0212
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,BorderlineSMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0048,0.0152,0.0152
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": 0.0, ""kmeans_estimator"": ""default""}",456,142,460,456,314,314,0,318,0.0348,0.1108,0.1108
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,SVMSMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0153,0.0486,0.0486
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,456,142,349,165,23,23,107,-84,0.0378,1.6435,1.6435
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,456,142,349,162,20,20,107,-87,0.1388,6.9398,6.9398
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,456,142,456,173,31,31,0,31,0.0148,0.4766,0.4766
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,456,142,456,154,12,12,0,12,0.0331,2.7566,2.7566
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,456,142,349,157,15,15,107,-92,0.4576,30.5094,30.5094
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,456,142,349,158,16,16,107,-91,0.4357,27.2304,27.2304
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,3,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,456,142,365,349,207,207,91,116,0.4261,2.0584,2.0584
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,None,None,--,not_applied,baseline_no_resampling,456,143,456,143,0,0,0,0,0.0015,,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,SMOTE,Baseline,--,success,fit_resample,456,143,456,456,313,313,0,313,0.0031,0.0099,0.0099
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,ADASYN,Baseline,--,success,fit_resample,456,143,456,440,297,297,0,297,0.005,0.0167,0.0167
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,BorderlineSMOTE,Baseline,--,success,fit_resample,456,143,456,456,313,313,0,313,0.0052,0.0165,0.0165
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": 0.0, ""kmeans_estimator"": ""default""}",456,143,459,456,313,313,0,316,0.0289,0.0923,0.0923
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,SVMSMOTE,Baseline,--,success,fit_resample,456,143,456,456,313,313,0,313,0.0164,0.0523,0.0523
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,456,143,338,164,21,21,118,-97,0.0418,1.9924,1.9924
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,456,143,338,161,18,18,118,-100,0.055,3.053,3.053
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,456,143,456,157,14,14,0,14,0.0129,0.9187,0.9187
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,456,143,456,151,8,8,0,8,0.0203,2.5437,2.5437
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,456,143,338,158,15,15,118,-103,0.0382,2.5437,2.5437
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,456,143,338,159,16,16,118,-102,0.0432,2.6993,2.6993
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,4,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,456,143,346,338,195,195,110,85,0.0432,0.2218,0.2218
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,None,None,--,not_applied,baseline_no_resampling,456,143,456,143,0,0,0,0,0.0009,,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,SMOTE,Baseline,--,success,fit_resample,456,143,456,456,313,313,0,313,0.0033,0.0107,0.0107
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,ADASYN,Baseline,--,success,fit_resample,456,143,456,455,312,312,0,312,0.0046,0.0149,0.0149
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,BorderlineSMOTE,Baseline,--,success,fit_resample,456,143,456,456,313,313,0,313,0.0048,0.0152,0.0152
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": ""auto"", ""kmeans_estimator"": ""default""}",456,143,456,456,313,313,0,313,0.0115,0.0369,0.0369
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,SVMSMOTE,Baseline,--,success,fit_resample,456,143,456,456,313,313,0,313,0.0162,0.0519,0.0519
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,456,143,319,163,20,20,137,-117,0.0388,1.9421,1.9421
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,5,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,456,143,319,166,23,23,137,-114,0.046,1.9991,1.9991
