Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BorderlineSMOTE,Baseline,--,DT,0.3333,0.375,0.2889,0.5244,115,115,0,115,0.0061,0.0533,0.0533,0.003,0.0006,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BorderlineSMOTE,Baseline,--,RF,0.4211,0.5,0.4086,0.6146,115,115,0,115,0.0061,0.0533,0.0533,0.671,0.0602,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BorderlineSMOTE,Baseline,--,LightGBM,0.3333,0.4375,0.3482,0.549,115,115,0,115,0.0061,0.0533,0.0533,0.0515,0.0064,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,KMeansSMOTE,Baseline,--,DT,0.4118,0.4375,0.3277,0.5833,115,115,0,115,0.249,2.1651,2.1651,0.0072,0.0008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,KMeansSMOTE,Baseline,--,RF,0.4615,0.375,0.3964,0.5627,115,115,0,115,0.249,2.1651,2.1651,1.226,0.1692,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,KMeansSMOTE,Baseline,--,LightGBM,0.375,0.375,0.355,0.5401,115,115,0,115,0.249,2.1651,2.1651,0.1889,0.0247,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,SVMSMOTE,Baseline,--,DT,0.4444,0.5,0.3534,0.6236,115,115,0,115,0.0801,0.6965,0.6965,0.0077,0.0008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,SVMSMOTE,Baseline,--,RF,0.3889,0.4375,0.4112,0.5749,115,115,0,115,0.0801,0.6965,0.6965,0.8707,0.0464,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,SVMSMOTE,Baseline,--,LightGBM,0.4286,0.5625,0.3846,0.6423,115,115,0,115,0.0801,0.6965,0.6965,0.0549,0.0104,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.2857,0.375,0.2711,0.5,8,8,44,-36,0.1273,15.9136,15.9136,0.0021,0.0006,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.4545,0.625,0.4406,0.677,8,8,44,-36,0.1273,15.9136,15.9136,0.2521,0.0259,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.45,0.5625,0.4749,0.6519,8,8,44,-36,0.1273,15.9136,15.9136,0.0194,0.004,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.3182,0.4375,0.2867,0.5401,9,9,44,-35,0.1373,15.261,15.261,0.0026,0.0008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.4,0.625,0.4825,0.6455,9,9,44,-35,0.1373,15.261,15.261,0.2564,0.033,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.5,0.625,0.4909,0.6972,9,9,44,-35,0.1373,15.261,15.261,0.021,0.0042,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.4211,0.5,0.3417,0.6146,6,6,0,6,0.0114,1.8958,1.8958,0.0026,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.3846,0.3125,0.4022,0.5069,6,6,0,6,0.0114,1.8958,1.8958,0.2745,0.0253,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.3636,0.25,0.3541,0.4595,6,6,0,6,0.0114,1.8958,1.8958,0.021,0.0041,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.3846,0.3125,0.3005,0.5069,11,11,0,11,0.0142,1.291,1.291,0.0026,0.0006,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.3636,0.25,0.4117,0.4595,11,11,0,11,0.0142,1.291,1.291,0.2998,0.0264,success,success,42
