Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.05,0.5,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,0.38497304916381836,2.4836970913794736,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.05,0.5,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,0.32241129875183105,2.135174163919411,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.05,0.75,0.7431972789115646,0.8810483870967742,0.6907903233672379,0.8744452059435888,156,156,1020,-864,0.3634340763092041,2.329705617366693,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.05,0.75,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,0.32133960723876953,2.086620826225776,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.05,0.75,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.3339071273803711,2.2409874320830276,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.05,0.75,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,0.3372995853424072,2.1761263570477887,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.05,0.75,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,0.31624341011047363,2.0943272192746596,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.05,1.0,0.7431972789115646,0.8810483870967742,0.6907903233672379,0.8744452059435888,156,156,1020,-864,0.344820499420166,2.2103878167959357,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.05,1.0,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,0.42305445671081543,2.747106861758542,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.05,1.0,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.32428932189941406,2.1764384020094907,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.05,1.0,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,0.3564422130584717,2.299627181022398,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.05,1.0,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,0.328838586807251,2.1777389854784834,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.05,1.25,0.7266666666666667,0.8790322580645161,0.6753711284746141,0.867702077157061,156,156,1020,-864,0.3275737762451172,2.0998318990071616,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.05,1.25,0.7322314049586777,0.8931451612903226,0.6863257270097102,0.8755327852886585,154,154,1041,-887,0.34432196617126465,2.2358569231900303,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.05,1.25,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.3299386501312256,2.2143533565854066,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.05,1.25,0.7073170731707317,0.8787878787878788,0.6582117069921948,0.8604627167128043,155,155,1017,-862,0.3660542964935303,2.361640622538905,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.05,1.25,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,1.80759596824646,11.970834226797749,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.05,1.5,0.7440677966101695,0.8850806451612904,0.6933373087011476,0.8764439404505037,156,156,1020,-864,1.7537925243377686,11.242259771395952,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.05,1.5,0.6979332273449921,0.8850806451612904,0.6525044943716862,0.8590427106299985,154,154,1041,-887,0.49079442024230957,3.1869767548201917,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.05,1.5,0.721259842519685,0.9252525252525252,0.6899360132430998,0.8842917790389592,149,149,1029,-880,0.32364916801452637,2.172142067211586,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.05,1.5,0.7058823529411765,0.8727272727272727,0.6545043192102016,0.8574904704680106,155,155,1017,-862,0.3434102535247803,2.215550022740518,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.05,1.5,0.6927803379416283,0.9111111111111111,0.6580618903199549,0.8669986128773299,151,151,1041,-890,0.3087801933288574,2.0449019425752146,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,rbf,0.05,0.25,0.7287853577371048,0.8830645161290323,0.6789519206526259,0.8701340017106725,72,72,1020,-948,0.594773530960083,8.26074348555671,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,rbf,0.05,0.25,0.7074721780604134,0.8971774193548387,0.6658445974498278,0.8676116114239103,83,83,1041,-958,0.586003303527832,7.060280765395567,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,rbf,0.05,0.25,0.7156398104265402,0.9151515151515152,0.680559882455617,0.8780849425361745,60,60,1029,-969,0.587475061416626,9.791251023610432,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,rbf,0.05,0.25,0.7321131447587355,0.8888888888888888,0.6843447733630762,0.8738891906232116,72,72,1017,-945,0.62711501121521,8.70993071132236,success,
