Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.4023 ± 0.0659,0.3260 ± 0.0925,0.3164 ± 0.0298,0.5188 ± 0.0641
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.3913 ± 0.0635,0.3143 ± 0.0755,0.3105 ± 0.0371,0.5115 ± 0.0516
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,DT,BSSMOTE w/o SVM,w/o SVM,--,0.3319 ± 0.0275,0.4606 ± 0.0664,0.2971 ± 0.0255,0.5713 ± 0.0391
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.3094 ± 0.0337,0.3881 ± 0.0958,0.2765 ± 0.0212,0.5267 ± 0.0550
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3143 ± 0.0306,0.3994 ± 0.0938,0.2807 ± 0.0185,0.5321 ± 0.0433
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.4090 ± 0.0959,0.4436 ± 0.1196,0.4427 ± 0.0866,0.5868 ± 0.0853
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.4262 ± 0.1018,0.4605 ± 0.1336,0.4420 ± 0.0751,0.6005 ± 0.0945
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.5009 ± 0.0750,0.3538 ± 0.0952,0.4513 ± 0.0425,0.5559 ± 0.0745
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.4959 ± 0.0898,0.3425 ± 0.0864,0.4436 ± 0.0728,0.5463 ± 0.0630
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.3757 ± 0.0758,0.5339 ± 0.1218,0.4250 ± 0.0771,0.6168 ± 0.0814
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.4036 ± 0.0824,0.4270 ± 0.1012,0.4298 ± 0.0780,0.5778 ± 0.0722
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.4084 ± 0.0917,0.4438 ± 0.1205,0.4386 ± 0.0780,0.5875 ± 0.0844
