Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.4000 ± 0.4183,0.0682 ± 0.0703,0.5914 ± 0.1472,0.1996 ± 0.1880
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.5333 ± 0.5055,0.1000 ± 0.0913,0.5671 ± 0.1791,0.2449 ± 0.2235
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o SVM,w/o SVM,--,0.4441 ± 0.0444,0.5303 ± 0.1338,0.4856 ± 0.1240,0.7195 ± 0.0914
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BorderlineSMOTE,Baseline,--,0.5870 ± 0.1059,0.3924 ± 0.1287,0.5678 ± 0.1288,0.6185 ± 0.1010
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.1467 ± 0.2921,0.1000 ± 0.1491,0.1748 ± 0.1267,0.1954 ± 0.2747
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.0527 ± 0.0364,0.1364 ± 0.0721,0.0863 ± 0.0336,0.3506 ± 0.0895
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,KMeansSMOTE,Baseline,--,0.6295 ± 0.0831,0.3606 ± 0.1031,0.5036 ± 0.0978,0.5946 ± 0.0857
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,None,None,--,0.6000 ± 0.4183,0.1015 ± 0.0694,0.5799 ± 0.1569,0.2812 ± 0.1671
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,SMOTE,Baseline,--,0.5604 ± 0.1211,0.4818 ± 0.0640,0.5226 ± 0.0770,0.6907 ± 0.0444
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,SVMSMOTE,Baseline,--,0.5928 ± 0.1780,0.3924 ± 0.1287,0.5349 ± 0.1199,0.6186 ± 0.1013
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,ADASYN,Baseline,--,0.6702 ± 0.0198,0.7195 ± 0.0096,0.5689 ± 0.0155,0.7780 ± 0.0089
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.6200 ± 0.0126,0.7573 ± 0.0182,0.5447 ± 0.0143,0.7746 ± 0.0116
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.6158 ± 0.0145,0.7561 ± 0.0165,0.5411 ± 0.0155,0.7723 ± 0.0121
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.6805 ± 0.0154,0.6994 ± 0.0179,0.5687 ± 0.0090,0.7722 ± 0.0068
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.6834 ± 0.0173,0.7055 ± 0.0187,0.5731 ± 0.0126,0.7759 ± 0.0091
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o SVM,w/o SVM,--,0.6209 ± 0.0103,0.7620 ± 0.0247,0.5468 ± 0.0128,0.7767 ± 0.0117
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BorderlineSMOTE,Baseline,--,0.6692 ± 0.0097,0.7066 ± 0.0116,0.5634 ± 0.0039,0.7720 ± 0.0028
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.6201 ± 0.0148,0.7577 ± 0.0205,0.5449 ± 0.0160,0.7748 ± 0.0129
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.6103 ± 0.0120,0.7552 ± 0.0172,0.5367 ± 0.0130,0.7695 ± 0.0107
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,KMeansSMOTE,Baseline,--,0.6754 ± 0.0133,0.6961 ± 0.0168,0.5640 ± 0.0087,0.7692 ± 0.0069
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,None,None,--,0.6834 ± 0.0075,0.6969 ± 0.0155,0.5698 ± 0.0038,0.7720 ± 0.0057
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,SMOTE,Baseline,--,0.6675 ± 0.0163,0.7047 ± 0.0182,0.5618 ± 0.0160,0.7706 ± 0.0119
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,SVMSMOTE,Baseline,--,0.6523 ± 0.0102,0.7049 ± 0.0122,0.5509 ± 0.0077,0.7657 ± 0.0059
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,ADASYN,Baseline,--,0.8734 ± 0.0198,0.7575 ± 0.0094,0.9082 ± 0.0055,0.8486 ± 0.0034
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7617 ± 0.0115,0.7965 ± 0.0149,0.8725 ± 0.0083,0.8412 ± 0.0074
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7633 ± 0.0114,0.7982 ± 0.0160,0.8723 ± 0.0095,0.8424 ± 0.0081
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9034 ± 0.0149,0.7185 ± 0.0238,0.9074 ± 0.0040,0.8328 ± 0.0125
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9014 ± 0.0150,0.7206 ± 0.0207,0.9074 ± 0.0041,0.8337 ± 0.0103
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.7479 ± 0.0067,0.8206 ± 0.0102,0.8792 ± 0.0084,0.8480 ± 0.0044
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BorderlineSMOTE,Baseline,--,0.8712 ± 0.0145,0.7602 ± 0.0095,0.9072 ± 0.0056,0.8496 ± 0.0034
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7605 ± 0.0118,0.7977 ± 0.0178,0.8723 ± 0.0091,0.8414 ± 0.0099
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7597 ± 0.0115,0.7963 ± 0.0159,0.8724 ± 0.0098,0.8405 ± 0.0069
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,KMeansSMOTE,Baseline,--,0.8968 ± 0.0187,0.7226 ± 0.0183,0.9058 ± 0.0049,0.8339 ± 0.0083
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,None,None,--,0.9061 ± 0.0118,0.7199 ± 0.0177,0.9080 ± 0.0037,0.8341 ± 0.0087
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,SMOTE,Baseline,--,0.8799 ± 0.0174,0.7497 ± 0.0113,0.9067 ± 0.0049,0.8457 ± 0.0051
