Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.7864,0.0581,0.8934,0.0291,0.7145,0.0681,0.9318,0.0188,24.4,18.2702,0.819,0.0991,66.2346,59.3304,0.0475,0.0048
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.9596,0.0102,0.9563,0.0164,0.9911,0.0049,0.9756,0.0087,24.4,18.2702,0.819,0.0991,66.2346,59.3304,0.2204,0.0141
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.9884,0.0081,0.9039,0.0355,0.9906,0.0035,0.95,0.0188,24.4,18.2702,0.819,0.0991,66.2346,59.3304,0.5433,0.0283
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.7951,0.0178,0.8742,0.0417,0.708,0.036,0.9228,0.0217,357.6,68.926,1.24,0.5086,3.3844,0.7268,0.0654,0.0131
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.9752,0.0145,0.958,0.0169,0.9921,0.0033,0.9774,0.0089,357.6,68.926,1.24,0.5086,3.3844,0.7268,0.9888,0.1506
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.9807,0.0154,0.9004,0.0383,0.9886,0.0044,0.9478,0.0206,357.6,68.926,1.24,0.5086,3.3844,0.7268,1.0026,0.1628
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,TVAE,Deep Tabular,--,DT,0.9074,0.012,0.8689,0.0299,0.8015,0.0149,0.9273,0.0152,3580.8,1.0954,13.581,0.5741,3.7927,0.1594,0.2311,0.033
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,TVAE,Deep Tabular,--,LightGBM,0.9872,0.0049,0.9406,0.0235,0.9948,0.0023,0.9691,0.012,3580.8,1.0954,13.581,0.5741,3.7927,0.1594,1.0127,0.2201
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,TVAE,Deep Tabular,--,RF,1.0,0.0,0.8776,0.0205,0.9923,0.0023,0.9368,0.0109,3580.8,1.0954,13.581,0.5741,3.7927,0.1594,2.4612,0.4269
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.3259,0.0484,0.8533,0.1282,0.2773,0.0372,0.9086,0.0665,1.6,0.5477,0.831,0.1952,572.2765,232.9141,0.0581,0.0097
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.4533,0.0716,0.7867,0.1192,0.7996,0.0994,0.8784,0.0688,1.6,0.5477,0.831,0.1952,572.2765,232.9141,0.1508,0.0071
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.4453,0.0819,0.8533,0.0869,0.7946,0.0852,0.915,0.0438,1.6,0.5477,0.831,0.1952,572.2765,232.9141,0.6051,0.02
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.347,0.043,0.84,0.1382,0.2919,0.0444,0.9026,0.0727,4.6,1.6733,1.0526,0.5218,253.8008,128.9076,0.0549,0.0049
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.4695,0.0964,0.8,0.1491,0.7717,0.0628,0.8849,0.0826,4.6,1.6733,1.0526,0.5218,253.8008,128.9076,0.1715,0.0402
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.4426,0.0735,0.8533,0.0869,0.7899,0.0892,0.915,0.0438,4.6,1.6733,1.0526,0.5218,253.8008,128.9076,0.6641,0.1403
